location,lat,lng
"Lake Stickney, Washington, WA, United States, US",47.8709,-122.2596
"Carnation, Washington, WA, United States, US",47.6446,-121.9048
"Everett, Washington, WA, United States, US",47.9524,-122.167
"Warden, Washington, WA, United States, US",46.9674,-119.0522
"Palouse, Washington, WA, United States, US",46.9103,-117.0751
"Terrace Heights, Washington, WA, United States, US",46.6024,-120.4482
"Clarkston, Washington, WA, United States, US",46.4152,-117.0502
"Elmer City, Washington, WA, United States, US",48.0,-118.9534
"Mossyrock, Washington, WA, United States, US",46.5305,-122.4887
"Summit View, Washington, WA, United States, US",47.1343,-122.3468
"Suquamish, Washington, WA, United States, US",47.7238,-122.583
"Newcastle, Washington, WA, United States, US",47.5303,-122.1633
"Stanwood, Washington, WA, United States, US",48.2451,-122.3426
"Kapowsin, Washington, WA, United States, US",46.9727,-122.2272
"Donald, Washington, WA, United States, US",46.4737,-120.3923
"Altoona, Washington, WA, United States, US",46.2699,-123.6145
"South Prairie, Washington, WA, United States, US",47.1373,-122.094
"Eschbach, Washington, WA, United States, US",46.667,-120.6337
"Indianola, Washington, WA, United States, US",47.7566,-122.5142
"Reardan, Washington, WA, United States, US",47.6698,-117.8778
"Cowiche, Washington, WA, United States, US",46.6729,-120.7154
"Sunday Lake, Washington, WA, United States, US",48.2306,-122.2684
"Rocky Point, Washington, WA, United States, US",47.5882,-122.6668
"Burbank, Washington, WA, United States, US",46.1991,-118.9728
"Lakeland North, Washington, WA, United States, US",47.3374,-122.2814
"Granite Falls, Washington, WA, United States, US",48.0874,-121.9704
"Camas, Washington, WA, United States, US",45.6003,-122.4306
"Skokomish, Washington, WA, United States, US",47.3298,-123.1579
"Cusick, Washington, WA, United States, US",48.3328,-117.2961
"Rosalia, Washington, WA, United States, US",47.2363,-117.3769
"Longbranch, Washington, WA, United States, US",47.2257,-122.7739
"Granger, Washington, WA, United States, US",46.3455,-120.1926
"North Fort Lewis, Washington, WA, United States, US",47.1221,-122.5966
"Tampico, Washington, WA, United States, US",46.5325,-120.8727
"Tukwila, Washington, WA, United States, US",47.4748,-122.2727
"Cathlamet, Washington, WA, United States, US",46.2056,-123.3835
"Wenatchee, Washington, WA, United States, US",47.4338,-120.3286
"Port Ludlow, Washington, WA, United States, US",47.9101,-122.7006
"Castle Rock, Washington, WA, United States, US",46.2717,-122.9057
"Glacier, Washington, WA, United States, US",48.8903,-121.9323
"Index, Washington, WA, United States, US",47.8212,-121.5556
"Republic, Washington, WA, United States, US",48.6477,-118.7326
"Bellevue, Washington, WA, United States, US",47.5953,-122.155
"Malo, Washington, WA, United States, US",48.7997,-118.6119
"Anderson Island, Washington, WA, United States, US",47.1577,-122.7037
"University Place, Washington, WA, United States, US",47.2148,-122.546
"Montesano, Washington, WA, United States, US",47.0102,-123.5858
"Rainier, Washington, WA, United States, US",46.8917,-122.6867
"Fords Prairie, Washington, WA, United States, US",46.7461,-123.0029
"Roy, Washington, WA, United States, US",46.9971,-122.5423
"Oso, Washington, WA, United States, US",48.2836,-121.9237
"Marblemount, Washington, WA, United States, US",48.5378,-121.4346
"Elk Plain, Washington, WA, United States, US",47.0448,-122.3671
"Burlington, Washington, WA, United States, US",48.4677,-122.3298
"Bangor Base, Washington, WA, United States, US",47.7227,-122.7146
"Beaux Arts Village, Washington, WA, United States, US",47.5854,-122.2009
"Port Gamble Tribal Community, Washington, WA, United States, US",47.8487,-122.5571
"Olympia, Washington, WA, United States, US",47.0417,-122.8959
"East Wenatchee, Washington, WA, United States, US",47.4172,-120.2809
"Addy, Washington, WA, United States, US",48.3588,-117.8372
"Minnehaha, Washington, WA, United States, US",45.6577,-122.6204
"Bryn Mawr-Skyway, Washington, WA, United States, US",47.4949,-122.2411
"Satsop, Washington, WA, United States, US",47.0223,-123.4737
"Riverbend, Washington, WA, United States, US",47.4651,-121.7491
"Easton, Washington, WA, United States, US",47.2405,-121.1733
"Silverdale, Washington, WA, United States, US",47.6663,-122.6828
"Napavine, Washington, WA, United States, US",46.5844,-122.9007
"Lochsloy, Washington, WA, United States, US",48.0597,-122.0411
"Ellensburg, Washington, WA, United States, US",46.9994,-120.547
"McKenna, Washington, WA, United States, US",46.9365,-122.55
"Fairfield, Washington, WA, United States, US",47.3848,-117.1748
"Northwest Stanwood, Washington, WA, United States, US",48.2623,-122.3501
"Mansfield, Washington, WA, United States, US",47.8119,-119.638
"Duvall, Washington, WA, United States, US",47.7354,-121.9725
"Markham, Washington, WA, United States, US",46.9155,-123.9814
"Waller, Washington, WA, United States, US",47.2035,-122.3699
"Longview, Washington, WA, United States, US",46.146,-122.963
"Richland, Washington, WA, United States, US",46.2826,-119.2937
"Rosedale, Washington, WA, United States, US",47.3453,-122.6368
"Vancouver, Washington, WA, United States, US",45.6367,-122.597
"Bethel, Washington, WA, United States, US",47.4874,-122.6175
"Custer, Washington, WA, United States, US",48.9143,-122.6397
"Lofall, Washington, WA, United States, US",47.8113,-122.6564
"Fairwood, Washington, WA, United States, US",47.4467,-122.143
"Winlock, Washington, WA, United States, US",46.4907,-122.9342
"Sumner, Washington, WA, United States, US",47.219,-122.2338
"Cottage Lake, Washington, WA, United States, US",47.7466,-122.0755
"Puget Island, Washington, WA, United States, US",46.1742,-123.3829
"Woods Creek, Washington, WA, United States, US",47.8821,-121.8982
"Washougal, Washington, WA, United States, US",45.5812,-122.3433
"Sisco Heights, Washington, WA, United States, US",48.1188,-122.1076
"Canterwood, Washington, WA, United States, US",47.3766,-122.6022
"Wapato, Washington, WA, United States, US",46.4434,-120.4215
"Lower Elochoman, Washington, WA, United States, US",46.2185,-123.3698
"Lake Goodwin, Washington, WA, United States, US",48.1387,-122.2804
"Banks Lake South, Washington, WA, United States, US",47.6315,-119.276
"Kent, Washington, WA, United States, US",47.3887,-122.2128
"Bickleton, Washington, WA, United States, US",46.0056,-120.3081
"Ryderwood, Washington, WA, United States, US",46.375,-123.0441
"Cavalero, Washington, WA, United States, US",47.9845,-122.0746
"La Conner, Washington, WA, United States, US",48.3925,-122.4945
"Martha Lake, Washington, WA, United States, US",47.848,-122.2326
"George, Washington, WA, United States, US",47.0845,-119.8598
"Snohomish, Washington, WA, United States, US",47.9277,-122.097
"Eatonville, Washington, WA, United States, US",46.8682,-122.2698
"Carson, Washington, WA, United States, US",45.7353,-121.8219
"Almira, Washington, WA, United States, US",47.7105,-118.9369
"Nooksack, Washington, WA, United States, US",48.9276,-122.3211
"Mount Vista, Washington, WA, United States, US",45.7373,-122.6315
"High Bridge, Washington, WA, United States, US",47.7968,-122.0281
"Lakeland South, Washington, WA, United States, US",47.2784,-122.2831
"Kenmore, Washington, WA, United States, US",47.7532,-122.2459
"Neah Bay, Washington, WA, United States, US",48.3612,-124.6115
"Cliffdell, Washington, WA, United States, US",46.9213,-121.042
"Port Angeles East, Washington, WA, United States, US",48.1041,-123.3695
"Burien, Washington, WA, United States, US",47.4762,-122.3393
"Taholah, Washington, WA, United States, US",47.3283,-124.2728
"Wauna, Washington, WA, United States, US",47.386,-122.6694
"Connell, Washington, WA, United States, US",46.6624,-118.8405
"Disautel, Washington, WA, United States, US",48.345,-119.2299
"Santiago, Washington, WA, United States, US",47.2975,-124.2327
"Orting, Washington, WA, United States, US",47.0966,-122.2111
"Colville, Washington, WA, United States, US",48.5454,-117.8986
"Marysville, Washington, WA, United States, US",48.081,-122.1558
"Walla Walla, Washington, WA, United States, US",46.0669,-118.3365
"Zillah, Washington, WA, United States, US",46.4083,-120.2717
"Curlew, Washington, WA, United States, US",48.8777,-118.6045
"Key Center, Washington, WA, United States, US",47.3376,-122.7505
"Hoodsport, Washington, WA, United States, US",47.402,-123.1542
"Spanaway, Washington, WA, United States, US",47.0979,-122.4233
"Mattawa, Washington, WA, United States, US",46.7364,-119.9019
"Clallam Bay, Washington, WA, United States, US",48.2536,-124.2579
"Prairie Ridge, Washington, WA, United States, US",47.1443,-122.1408
"Rockport, Washington, WA, United States, US",48.4854,-121.6065
"Stansberry Lake, Washington, WA, United States, US",47.3814,-122.7154
"Copalis Beach, Washington, WA, United States, US",47.1205,-124.1722
"Frederickson, Washington, WA, United States, US",47.0914,-122.3594
"Asotin, Washington, WA, United States, US",46.3371,-117.0433
"Mill Creek, Washington, WA, United States, US",47.8633,-122.2034
"Bell Hill, Washington, WA, United States, US",48.055,-123.087
"Green Bluff, Washington, WA, United States, US",47.819,-117.277
"Clayton, Washington, WA, United States, US",48.0013,-117.5612
"Puyallup, Washington, WA, United States, US",47.1794,-122.2902
"Hockinson, Washington, WA, United States, US",45.7301,-122.4833
"Lake McMurray, Washington, WA, United States, US",48.3129,-122.2317
"Bucoda, Washington, WA, United States, US",46.7968,-122.868
"Issaquah, Washington, WA, United States, US",47.542,-122.0444
"Odessa, Washington, WA, United States, US",47.3326,-118.6895
"Hazel Dell, Washington, WA, United States, US",45.6797,-122.6553
"McMillin, Washington, WA, United States, US",47.1286,-122.2374
"Wilbur, Washington, WA, United States, US",47.7583,-118.711
"Skamokawa Valley, Washington, WA, United States, US",46.3004,-123.4243
"Centerville, Washington, WA, United States, US",45.754,-120.9081
"Nile, Washington, WA, United States, US",46.8368,-120.9455
"Spokane Valley, Washington, WA, United States, US",47.6625,-117.2346
"Woodland, Washington, WA, United States, US",45.9149,-122.7503
"Lewisville, Washington, WA, United States, US",45.8127,-122.5144
"Vantage, Washington, WA, United States, US",46.9453,-119.9923
"Gorst, Washington, WA, United States, US",47.5237,-122.7057
"Lake Morton-Berrydale, Washington, WA, United States, US",47.3325,-122.103
"Ione, Washington, WA, United States, US",48.7402,-117.4223
"Bothell West, Washington, WA, United States, US",47.8056,-122.24
"Vaughn, Washington, WA, United States, US",47.355,-122.7773
"Black Diamond, Washington, WA, United States, US",47.313,-122.0181
"Ferndale, Washington, WA, United States, US",48.8525,-122.5893
"Acme, Washington, WA, United States, US",48.7146,-122.2293
"White Center, Washington, WA, United States, US",47.5086,-122.348
"Fairchild AFB, Washington, WA, United States, US",47.6187,-117.6485
"Pacific, Washington, WA, United States, US",47.2611,-122.2507
"Glenwood, Washington, WA, United States, US",46.0228,-121.2926
"Colfax, Washington, WA, United States, US",46.9032,-117.3394
"Silvana, Washington, WA, United States, US",48.2018,-122.2459
"Forks, Washington, WA, United States, US",47.9526,-124.3904
"Kirkland, Washington, WA, United States, US",47.6997,-122.2041
"Okanogan, Washington, WA, United States, US",48.3671,-119.5784
"Kayak Point, Washington, WA, United States, US",48.1387,-122.3342
"Union Hill-Novelty Hill, Washington, WA, United States, US",47.6788,-122.0284
"Outlook, Washington, WA, United States, US",46.3311,-120.0923
"Lake Tapps, Washington, WA, United States, US",47.2305,-122.1696
"Cohassett Beach, Washington, WA, United States, US",46.8656,-124.1054
"Tonasket, Washington, WA, United States, US",48.7077,-119.4412
"Sunnyside, Washington, WA, United States, US",46.3159,-120.0058
"Lakeview, Washington, WA, United States, US",47.3755,-119.5043
"Carbonado, Washington, WA, United States, US",47.0805,-122.0536
"Pullman, Washington, WA, United States, US",46.734,-117.1669
"Blyn, Washington, WA, United States, US",48.013,-122.9897
"Brinnon, Washington, WA, United States, US",47.6689,-122.9249
"Friday Harbor, Washington, WA, United States, US",48.5324,-123.0655
"Orchards, Washington, WA, United States, US",45.6888,-122.5305
"Purdy, Washington, WA, United States, US",47.3938,-122.6114
"Tekoa, Washington, WA, United States, US",47.2247,-117.0732
"Tanner, Washington, WA, United States, US",47.4813,-121.6921
